# eps rg_perp sem rg_para sem
0.05	   49.2812533788     0.6781796265    43.1626087914     0.3917460397
0.10	   50.3883528182     0.6949462376    42.8383301351     0.3741021110
0.15	   49.2461597644     0.7194595615    43.6910434511     0.3993336696
0.20	   49.2128210496     0.6959016062    43.6051450080     0.4056693453
0.25	   48.2540426056     0.6569930522    43.9137699465     0.4108647098
0.30	   47.5050667327     0.6562251609    43.2769304877     0.3800752350
0.35	   47.1657452174     0.6919090276    43.7731133578     0.3989745319
0.40	   47.7620846915     0.6752844386    43.9225859175     0.3940105178
0.45	   47.0091660837     0.6886561116    43.3141769215     0.4053198896
0.50	   46.1988460458     0.6947848296    44.2585074983     0.4027283863
0.55	   44.9552166020     0.6533718532    45.2141429820     0.4121263792
0.60	   42.6712734813     0.6321496999    44.7744913758     0.4052980669
0.65	   42.5546582883     0.6882596449    45.6716686244     0.3983416389
0.70	   39.8725477459     0.6370911211    47.0665387129     0.4278260654
0.71	   40.0786931090     0.8639057190    46.3256024527     0.5617268875
0.72	   39.4334153696     0.8484776412    46.7725082942     0.5403821389
0.73	   38.4343040552     0.8802398941    47.7881215489     0.5284872230
0.74	   35.6822391057     0.6204225411    47.6878848939     0.4353435399
0.75	   35.7646325614     0.7307815416    48.5549160090     0.4539014574
0.76	   34.6465524713     0.6482180303    49.1015112743     0.4626013761
0.77	   32.4498742637     0.5875134984    50.7439629073     0.5181500251
0.78	   31.5490851279     0.6016006259    50.0011203233     0.5150179469
0.79	   31.0050952821     0.6118050151    51.3704494639     0.5350135578
0.80	   30.0361093163     0.5888985895    51.8615946226     0.4673285563
0.81	   28.2589255415     0.5411481013    53.0044815439     0.4861347452
0.82	   27.0354074893     0.5606628242    53.7730266078     0.5001392011
0.83	   25.5279676949     0.6153073286    55.0225240244     0.4887336649
0.84	   25.4393951221     0.5344799200    54.8446378300     0.5007282104
0.85	   23.6061431257     0.5102433582    56.5025213810     0.5046231542
0.86	   22.6698787850     0.5347427240    56.8241706957     0.5266417960
0.87	   20.9145774595     0.5081360344    59.4085211167     0.5319563218
0.88	   19.9617191680     0.4552348359    60.1566365902     0.5371115187
0.89	   17.9947353564     0.4636188388    62.0056618190     0.5814994815
0.90	   17.1812326202     0.4445861669    63.4565516559     0.5858953983
0.95	   11.8152881137     0.3168638137    70.2314420258     0.6198729600
1.00	    7.9049715317     0.2236329218    77.3370026915     0.6590995419
1.05	    5.3700693620     0.2330557517    85.8484035497     0.6884417211
1.10	    3.6019578252     0.1481399606    91.3509613267     0.6622015714
1.15	    2.5622246647     0.1306204173    98.1592993121     0.7103392940
1.20	    2.0187735630     0.1152787310   100.6379276649     0.6992194518
1.25	    1.5116527838     0.0799590250   106.8289824448     0.8054910058
1.30	    1.2860794597     0.0928826168   109.3436369261     0.7379501371
1.35	    1.0996952394     0.1197909710   113.8806441343     0.8153211472
1.40	    0.9079650426     0.0847824944   116.4756759532     0.9152385357
1.45	    0.7532407672     0.0780485982   119.6292642274     0.8226969764
1.50	    0.7288510781     0.0996018572   121.4865388136     0.9355467332
1.55	    0.6871860599     0.1125401301   126.9432307259     0.9720479967
1.60	    0.5803813564     0.0803167894   127.1716904787     0.8972744967
1.65	    0.4940456875     0.0712846774   128.9289192006     0.9981395074
1.70	    0.5373625908     0.1022189312   130.2194711776     1.0001660186
1.75	    0.4263033800     0.0652102593   132.2623332324     1.0285670606
1.80	    0.3238094136     0.0327147080   133.3176659948     1.0862471247
1.85	    0.3826725968     0.0672148840   136.8958770837     1.0998983964
1.90	    0.3010832997     0.0490297904   137.6732878454     1.0892881060
1.95	    0.3927575203     0.0910514069   139.8440655576     1.1959706378
2.00	    0.2320002857     0.0256635279   140.4313420280     1.1344446980
