# timestep phi_pore phi_bulk part_coeff
  0           -nan   1.9115341973           -nan
  10            inf   1.9517770226            inf
  20            inf   1.9517770226            inf
  30            inf   1.9497648813            inf
  40            inf   1.9537891638            inf
  50            inf   1.9517770226            inf
  60            inf   1.9497648813            inf
  70            inf   1.9497648813            inf
  80            inf   1.9397041750            inf
  90            inf   1.9417163163            inf
  100            inf   1.9417163163            inf
  110            inf   1.9356798925            inf
  120            inf   1.9356798925            inf
  130            inf   1.9336677512            inf
  140            inf   1.9397041750            inf
  150            inf   1.9356798925            inf
  160            inf   1.9296434687            inf
  170            inf   1.9296434687            inf
  180            inf   1.9236070449            inf
  190            inf   1.9236070449            inf
  200            inf   1.9175706211            inf
  210            inf   1.9155584799            inf
  220            inf   1.9155584799            inf
  230            inf   1.9155584799            inf
  240            inf   1.9115341973            inf
  250            inf   1.9115341973            inf
  260            inf   1.9075099148            inf
  270            inf   1.9014734910            inf
  280            inf   1.9014734910            inf
  290            inf   1.9034856323            inf
  300            inf   1.9034856323            inf
  310            inf   1.8974492085            inf
  320            inf   1.8934249260            inf
  330            inf   1.9014734910            inf
  340            inf   1.9095220561            inf
  350            inf   1.9135463386            inf
  360            inf   1.9095220561            inf
  370            inf   1.9135463386            inf
  380            inf   1.9155584799            inf
  390            inf   1.9115341973            inf
  400            inf   1.9135463386            inf
  410            inf   1.9095220561            inf
  420            inf   1.9135463386            inf
  430            inf   1.9095220561            inf
  440            inf   1.9155584799            inf
  450            inf   1.9175706211            inf
  460            inf   1.9155584799            inf
  470            inf   1.9155584799            inf
  480            inf   1.9135463386            inf
  490            inf   1.9095220561            inf
  500            inf   1.9075099148            inf
  510            inf   1.9054977736            inf
  520            inf   1.9034856323            inf
  530            inf   1.9014734910            inf
  540            inf   1.9054977736            inf
  550            inf   1.9014734910            inf
  560            inf   1.8974492085            inf
  570            inf   1.8974492085            inf
  580            inf   1.8954370673            inf
  590            inf   1.8914127847            inf
  600            inf   1.8894006435            inf
  610            inf   1.8853763610            inf
  620            inf   1.8833642197            inf
  630            inf   1.8813520784            inf
  640            inf   1.8813520784            inf
  650            inf   1.8813520784            inf
  660            inf   1.8813520784            inf
  670            inf   1.8813520784            inf
  680            inf   1.8813520784            inf
  690            inf   1.8813520784            inf
  700            inf   1.8793399372            inf
  710            inf   1.8712913721            inf
  720            inf   1.8712913721            inf
  730            inf   1.8733035134            inf
  740            inf   1.8753156547            inf
  750            inf   1.8733035134            inf
  760            inf   1.8712913721            inf
  770            inf   1.8692792309            inf
  780            inf   1.8733035134            inf
  790            inf   1.8733035134            inf
  800            inf   1.8672670896            inf
  810            inf   1.8652549484            inf
  820            inf   1.8632428071            inf
  830            inf   1.8612306658            inf
  840            inf   1.8612306658            inf
  850            inf   1.8572063833            inf
  860            inf   1.8551942421            inf
  870            inf   1.8592185246            inf
  880            inf   1.8531821008            inf
  890            inf   1.8551942421            inf
  900            inf   1.8551942421            inf
  910            inf   1.8531821008            inf
  920            inf   1.8511699595            inf
  930            inf   1.8471456770            inf
  940            inf   1.8451335358            inf
  950            inf   1.8451335358            inf
  960            inf   1.8451335358            inf
  970            inf   1.8471456770            inf
  980            inf   1.8491578183            inf
  990            inf   1.8531821008            inf
