# timestep  xRg^2        yRg^2           zRg^2           Rg,xy^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  100100000   9.0219882952  49.7157018251   0.0000000000  58.7376901202   0.4424910400 468.9866672100   0.1683050625 469.5974633125   0.3102988059   0.4034108514   0.3094112312   1.0231208885
  100200000  15.2628869463  24.7209931000   0.0000000000  39.9838800463  42.1512577600 208.1065908100   0.0405498769 250.2983984469   0.3163398125   0.3724398890   0.3416723173   1.0304520189
  100300000  27.7685768487  85.2795047669   0.0000000000 113.0480816156 488.3790604900 440.9286028900   1.3370759424 930.6447393224   0.4066018118   0.3559118346   0.2635352498   1.0260488962
  100400000  13.4128391512  51.5061166319   0.0000000000  64.9189557832  97.4781036100 161.7220890000   5.5847615041 264.7849541141   0.3337916817   0.3509917562   0.3494633231   1.0342467610
  100500000  23.4448958329  17.7049516706   0.0000000000  41.1498475035  48.9090422500 187.0849484100  93.7597143616 329.7537050216   0.3548482361   0.3657436526   0.3302812819   1.0508731706
  100600000   5.6951912183  18.2735000940   0.0000000000  23.9686913123  10.2278436100  47.8628748900  45.7783500409 103.8690685409   0.3510161316   0.3275565609   0.3525297097   1.0311024022
  100700000   8.1216503815  28.7017470460   0.0000000000  36.8233974275   2.2076016400 211.8596691600  30.5765867521 244.6438575521   0.3755741467   0.3325332745   0.3001603510   1.0082677722
  100800000   6.5256495059  22.5860019317   0.0000000000  29.1116514376  34.4627702500 128.5230342400 103.0834090000 266.0692134900   0.3463252627   0.3449069188   0.3422532493   1.0334854308
  100900000  45.7765432908   3.5285621110   0.0000000000  49.3051054018 221.9593428900   0.1874024100   0.0396408100 222.1863861100   0.3821418997   0.3283446878   0.3347742763   1.0452608637
  101000000  11.3239823820  11.9317810359   0.0000000000  23.2557634179   1.4830368400  19.7215928100  81.8789716900 103.0836013400   0.3589735663   0.3330845585   0.3242646656   1.0163227903
  101100000   1.8595087830   7.3949495244   0.0000000000   9.2544583074   2.0474748100  65.9262802500 218.7458748036 286.7196298636   0.2982483983   0.3422234080   0.3920265986   1.0324984049
  101200000  30.0098294589   5.4843558337   0.0000000000  35.4941852926  72.5955120900  11.3131322500  25.0393154449 108.9479597849   0.3846619965   0.2829516191   0.3742863925   1.0419000080
  101300000 100.8566996407   4.7855386918   0.0000000000 105.6422383325 872.5170745600  27.7918752400   1.4144820624 901.7234318624   0.4001293089   0.3557060887   0.2559022799   1.0117376775
  101400000   7.0115426432   4.9379670702   0.0000000000  11.9495097134  89.3970250000  12.4820890000   9.3147040000 111.1938180000   0.3676345968   0.3371689323   0.3305744218   1.0353779509
  101500000  30.3293827830  22.5613753094   0.0000000000  52.8907580924  79.0818918400   0.0093896100   5.4141378489  84.5054192989   0.3664490394   0.3589984942   0.2997922182   1.0252397518
  101600000  22.2534495229  13.7892563839   0.0000000000  36.0427059068  80.7410073600  14.1827560000  29.5642312900 124.4879946500   0.3865171386   0.3155177848   0.3119108249   1.0139457484
  101700000  19.5838503439  10.0494255049   0.0000000000  29.6332758488 331.5858902500  10.2073860100   1.2634659216 343.0567421816   0.3128959300   0.3469841005   0.3742939343   1.0341739648
  101800000  64.0596286494  11.4867248880   0.0000000000  75.5463535374 828.1042182400  24.6581764900 282.1869144964 1134.9493092264   0.3702404869   0.3338754682   0.3125169786   1.0166329336
  101900000  20.7858612401  12.4581590991   0.0000000000  33.2440203391 380.0511260100  28.5508548900  28.9059995449 437.5079804449   0.3358313003   0.3456030043   0.3567998677   1.0382341724
  102000000  14.4867621273  23.1992666522   0.0000000000  37.6860287795  13.2234049600  79.7622251409 133.1466747664 226.1323048673   0.3921394693   0.3021919826   0.3062349868   1.0005664386
  102100000  20.7135255369   6.6842850199   0.0000000000  27.3978105568 214.6342201600  62.2805072400  14.1721378681 291.0868652681   0.3166668677   0.3749435602   0.3429354150   1.0345458429
  102200000  45.9128863106  13.4231304419   0.0000000000  59.3360167526 372.9803812900  68.3138285875   0.0094091940 441.3036190715   0.3965427944   0.3682832183   0.2939789690   1.0588049818
  102300000   8.6952633591   9.1198502089   0.0000000000  17.8151135680  46.5847200900   0.2017204517  64.8363144100 111.6227549517   0.3402598660   0.3221118025   0.3807238909   1.0430955593
  102400000   9.9342418434  63.7414740107   0.0000000000  73.6757158541   0.4511808900 609.8603116225  13.9709245729 624.2824170854   0.3622631290   0.3351975339   0.3426680560   1.0401287190
  102500000  10.2493587179  51.4420066998   0.0000000000  61.6913654177  13.8034540900 532.1651965144   4.0893332841 550.0579838885   0.3345753203   0.3336663728   0.3449859597   1.0132276527
  102600000  12.0194078423  53.7905237201   0.0000000000  65.8099315623   5.7960562500 486.3899430625  11.6933495589 503.8793488714   0.3858272100   0.3891805983   0.2557003610   1.0307081693
  102700000  66.1735100420  53.2252030992   0.0000000000 119.3987131412 459.3049059600 383.8014037225   2.9036637122 846.0099733947   0.3949162489   0.3810158132   0.2459076461   1.0218397082
  102800000  19.1389946012  60.3582173789   0.0000000000  79.4972119802  18.5709283600 422.7695250496   0.6216707485 441.9621241581   0.4378303141   0.3532283669   0.2714478476   1.0625065286
