# timestep  xRg^2        yRg^2           zRg^2           Rg^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  15100000  43.2023547392  27.3819293237   2.6166098035  73.2008938664 315.0319707396  99.6572941225   0.0178783641 414.7071432262   0.3559178341   0.3602764194   0.3079931493   1.0241874028
  15200000  38.8168385295   7.1195121757   5.5379279862  51.4742786915 377.8206825121  81.6586937104   3.3232925401 462.8026687626   0.3541166152   0.3389654451   0.3613024838   1.0543845441
  15300000   6.1571709178  80.1493486995   7.5819403410  93.8884599582   1.7905116100 789.9674724496  59.0420118544 850.7999959140   0.3665979208   0.4007422695   0.2716613927   1.0390015830
  15400000   9.2238629053  12.1661968293   5.4920554165  26.8821151512   6.3776451600  10.3434921769  31.1369580025  47.8580953394   0.3080488468   0.3639223810   0.3558720573   1.0278432851
  15500000  23.3173023323   4.7767309000   1.7260043761  29.8200376084 189.6652296100  68.7352090489   0.4679517649 258.8683904238   0.3255075570   0.4191609714   0.2652411980   1.0099097264
  15600000  59.3715671813   7.3496755836   3.2215314075  69.9427741724 331.4944848601   0.2521445796   3.2175031876 334.9641326273   0.3370221518   0.3804076012   0.3158247814   1.0332545344
  15700000  14.7256646933  38.3942855561   2.6991526608  55.8191029101 104.5414227025 159.4825482496   8.1822314116 272.2062023637   0.3499443623   0.3494370798   0.3082803554   1.0076617976
  15800000  59.7793934413  35.5356497808   2.6077838563  97.9228270784 546.2957266209 191.0932993225  14.4980462169 751.8870721603   0.3998400969   0.3318808466   0.2794420674   1.0111630108
  15900000   5.7203544637  20.3181572871   8.7692700681  34.8077818189   0.1680098121 199.1262476641   9.4240404196 208.7182978958   0.3170628380   0.4004984738   0.3241348205   1.0416961322
  16000000  38.1820319980  12.9257274889   2.8269802856  53.9347397725 337.8836229553   1.9860362958   5.5232520256 345.3929112767   0.3686347364   0.3769785333   0.3017344101   1.0473476798
  16100000  16.1074499621  15.6946744790  22.4005105054  54.2026349465  95.0196048400  25.9620820900 228.6534112641 349.6350981941   0.3330707372   0.3448589049   0.3593425821   1.0372722242
  16200000   5.8084779567  31.4800347974   4.3893126295  41.6778253836  19.2719770802  87.2755797796   3.8660210884 110.4135779482   0.3087966186   0.4040680272   0.3160697116   1.0289343574
  16300000  37.6370817195  11.2131315275   2.6050950766  51.4553083236 336.4994009664 208.6210474384   8.8926818436 554.0131302484   0.3816448513   0.3433125045   0.3185642061   1.0435215619
  16400000  11.9591011704  14.2297718933  12.2292769588  38.4181500225   0.0033524100 145.1167166736 104.3210976129 249.4411666965   0.3407476197   0.3668843327   0.3326988550   1.0403308074
  16500000  26.0666977927   4.8160253685   7.9409997374  38.8237228986 236.9259777600  24.9631136161   7.9500313764 269.8391227525   0.3371776032   0.3465697879   0.3652479535   1.0489953445
  16600000  91.9394334252  20.2561169177   1.2794546822 113.4750050251 901.6843873636 190.0328418576   0.9373725124 1092.6546017336   0.3491811264   0.3611157387   0.3413850019   1.0516818670
  16700000   7.8281939473   7.5685807226  36.1353809478  51.5321556177   4.9408398400  18.2893503260 420.9895550809 444.2197452469   0.3581145723   0.3062951293   0.3637080556   1.0281177572
  16800000  93.4130657634   6.5083508023  16.1196252066 116.0410417723 1066.6880108361 105.9190683066  62.2066618944 1234.8137410371   0.3617220445   0.3534277400   0.3366684277   1.0518182122
  16900000  36.1854071354   8.0255355916  10.3452503438  54.5561930708  83.1160422400  48.9763428561  46.5407755264 178.6331606225   0.3369223929   0.3707429554   0.3312188808   1.0388842291
