ID TYPE x y z ix iy iz 
1661 2 1.14424 2.12729 14.9248 -12 -20 0
1662 2 0.984621 1.18232 15.009 -12 -20 0
1663 2 1.50274 0.850698 14.1469 -12 -20 0
1664 2 1.56593 -0.108644 14.0696 -12 -20 0
1665 2 0.938507 -0.257165 14.795 -12 -20 0
1666 2 0.215485 0.242419 14.4518 -12 -20 0
1667 2 -0.177223 0.535267 13.6235 -12 -20 0
1668 2 -0.971731 -0.0148588 13.8351 -12 -20 0
1669 2 -1.15986 0.707123 14.4161 -12 -20 0
1670 2 -1.62193 1.49828 14.7294 -12 -20 0
1671 2 -0.84758 2.02079 14.9349 -12 -20 0
1672 2 -0.675412 2.98446 14.8794 -12 -20 0
1673 2 -0.241812 3.73228 14.4912 -12 -20 0
1674 2 0.541384 4.11297 14.2424 -12 -20 0
1675 2 1.50453 4.21036 14.3641 -12 -20 0
1676 2 2.37462 4.51592 14.3721 -12 -20 0
1677 2 2.8915 4.18349 15.1934 -12 -20 0
1678 2 2.2155 4.48734 15.7424 -12 -20 0
1679 2 1.42994 4.9326 15.9179 -12 -20 0
1680 2 2.25618 5.35511 16.3152 -12 -20 0
1661 2 -9.16287 3.14617 18.127 -11 -20 0
1662 2 -8.53739 2.59972 18.668 -11 -20 0
1663 2 -7.56484 2.52751 18.5076 -11 -20 0
1664 2 -8.07183 1.80197 18.1358 -11 -20 0
1665 2 -7.80711 0.879956 17.9765 -11 -20 0
1666 2 -8.38206 0.326289 17.4027 -11 -20 0
1667 2 -8.92544 0.293757 16.5818 -11 -20 0
1668 2 -9.59016 0.21951 15.9145 -11 -20 0
1669 2 -10.3235 -0.461686 15.7899 -11 -20 0
1670 2 -11.2278 -0.614808 15.4264 -11 -20 0
1671 2 -11.8412 -1.03163 14.8378 -11 -20 0
1672 2 -11.3923 -0.530832 14.093 -11 -20 0
1673 2 -11.7759 0.0776835 14.748 -11 -20 0
1674 2 -12.5378 0.670902 14.8438 -11 -20 0
1675 2 -13.4412 0.608311 15.11 -11 -20 0
1676 2 -13.6191 1.53334 14.9768 -11 -20 0
1677 2 -14.0172 1.93981 15.7126 -11 -20 0
1678 2 -14.5753 2.66493 15.7579 -11 -20 0
1679 2 -14.1202 3.09644 15.0294 -11 -20 0
1680 2 -13.793 3.79126 14.4338 -11 -20 0
1661 2 1.43003 -6.54614 22.2611 -11 -20 0
1662 2 1.69753 -5.57457 22.4577 -11 -20 0
1663 2 1.61678 -5.92415 23.3818 -11 -20 0
1664 2 0.699699 -5.57348 23.251 -11 -20 0
1665 2 0.960792 -4.69015 23.672 -11 -20 0
1666 2 1.28253 -4.05931 24.2896 -11 -20 0
1667 2 1.58093 -3.70809 23.3648 -11 -20 0
1668 2 2.30993 -3.5315 24.0081 -11 -20 0
1669 2 2.93439 -3.63585 23.3168 -11 -20 0
1670 2 2.9506 -2.96958 22.6206 -11 -20 0
1671 2 2.34087 -2.56625 23.2767 -11 -20 0
1672 2 2.51367 -1.85703 23.9971 -11 -20 0
