# Time-averaged data for fix at1
# TimeStep c_cm[3] c_pfall
101010000 11.4011 0
101020000 10.7907 0
101030000 15.1374 0
101040000 16.1637 0
101050000 10.7079 0
101060000 3.64502 -0.782597
101070000 5.19481 -0.167446
101080000 3.7553 -0.583529
101090000 4.1149 -0.390742
101100000 8.00537 0
101110000 4.28836 -0.57881
101120000 5.03779 -0.247008
101130000 4.78757 -0.54534
101140000 3.12967 -0.7007
101150000 4.50155 -0.398535
101160000 2.77044 -1.02943
101170000 4.56171 -0.469064
101180000 19.8843 0.00344155
101190000 26.4162 0.0282214
101200000 23.0357 0
101210000 24.2017 0.0282248
101220000 24.3426 0.0140451
101230000 20.789 0
101240000 18.8148 0
101250000 23.3306 0.0223558
101260000 25.7134 2.28168e-05
101270000 25.2199 0.0346773
101280000 23.9208 1.43284e-06
101290000 23.0235 0.000182451
101300000 24.5009 0.0109765
101310000 20.501 0
101320000 24.6339 0.012483
101330000 24.0487 0.0322649
101340000 11.3574 -0.222615
101350000 2.8238 -0.788965
101360000 3.31684 -0.650003
101370000 3.00802 -0.76547
101380000 11.7557 -0.00735203
101390000 18.8363 0
101400000 18.606 0
101410000 14.3626 0
101420000 20.7575 0
101430000 21.1195 0
101440000 20.9969 0
101450000 23.5495 0.000254586
101460000 26.253 0.0186014
101470000 22.4322 0
101480000 14.8784 0
101490000 16.635 0
101500000 10.3935 0
101510000 10.526 -0.0156113
101520000 2.68364 -0.891989
101530000 3.8205 -0.666889
101540000 12.2438 0
101550000 14.7706 0
101560000 17.889 0
101570000 19.3518 0
101580000 12.1335 0
101590000 14.4918 0
101600000 12.1626 0
101610000 8.49574 0
101620000 2.80921 -0.663758
101630000 1.11907 -1.01825
101640000 1.06649 -1.27966
101650000 3.0754 -0.674048
101660000 3.85002 -0.434942
101670000 7.2525 -0.135073
101680000 8.81595 -0.0957526
101690000 6.10974 -0.0292986
101700000 8.30826 -0.000238061
101710000 12.6296 0
101720000 4.20128 -0.57401
101730000 4.50564 -0.372469
101740000 5.08106 -0.495937
101750000 6.82445 -0.00240389
101760000 3.75183 -0.557632
101770000 14.7306 0
101780000 23.4765 0.0304074
101790000 13.1709 0
101800000 14.2989 0
101810000 9.714 0
101820000 12.735 0
101830000 15.1726 0
101840000 21.4633 0
101850000 25.2248 0.00314379
101860000 25.2621 0.00471263
101870000 24.8716 0.0101868
101880000 21.4919 0
101890000 18.9474 0
101900000 17.7435 0
101910000 25.1294 0.0761338
101920000 22.3226 0
101930000 24.2461 0.00599564
101940000 22.1969 0
101950000 17.4941 0
101960000 21.7743 0.0139637
101970000 23.1006 0.00706993
101980000 24.6245 0.0105303
101990000 23.3346 0.0303003
102000000 18.7304 0
102010000 13.6001 0
102020000 14.3443 0
102030000 7.69779 -0.0779818
102040000 6.19169 -0.00337963
102050000 11.6666 0
102060000 12.6545 0
102070000 15.3091 0
102080000 16.2441 0
102090000 12.2315 0
102100000 14.9704 0
102110000 15.7749 0
102120000 14.3231 0
102130000 17.1202 0
102140000 12.3614 0
102150000 12.9812 0
102160000 10.13 0
102170000 9.35354 0
102180000 9.86424 -0.000204741
102190000 12.1102 0
102200000 3.75888 -0.425204
102210000 9.93471 -0.00563285
102220000 16.2652 0
102230000 21.6402 0
102240000 19.1513 0
102250000 18.0394 0
102260000 24.8256 0.0155888
102270000 23.2505 0
102280000 25.1493 0.0535049
102290000 26.0315 0.0377163
102300000 21.5662 0.00997392
102310000 17.1101 0
102320000 16.9083 0
102330000 16.2467 0
102340000 5.82349 -0.455872
102350000 2.5752 -0.882949
102360000 1.84748 -1.14496
102370000 3.40958 -0.572509
102380000 7.60101 -0.0115818
102390000 4.82073 -0.298211
102400000 9.68484 0
102410000 5.46206 -0.267235
102420000 1.39952 -1.65546
102430000 -0.850897 -1.92404
102440000 -6.39862 -2.19933
102450000 -7.10765 -2.36342
102460000 -6.46414 -2.45757
102470000 -7.7883 -2.30029
102480000 -10.8315 -2.2224
102490000 -11.5152 -2.12915
102500000 -5.14123 -2.51658
102510000 -8.00513 -2.12551
102520000 -7.05127 -2.51818
102530000 -4.78421 -2.36741
102540000 1.2644 -1.59344
102550000 2.84674 -0.813549
102560000 3.87166 -0.508787
